50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
9,20,0.64,0.76,0.73,0.79,0.76,9177.18,1.46,0.32,0,0,0,0,0.45,0.7,0.61,0.83,0.7,10923.43,1.26,0.32,0,0,0,0,,0.51,0.71,0.65,0.8,0.71,9433.87,1.69,0.29
9,20,0.53,0.71,0.67,0.75,0.71,11579.03,3.98,0.17,0,0,0,0,0.53,0.71,0.67,0.75,0.71,11579.03,3.98,0.17,0,0,0,0,,0.53,0.71,0.67,0.75,0.71,11579.03,3.98,0.17
9,20,0.11,0.05,0.05,0.04,0.05,-2401.86,-2.52,0.14,0,0,0,1,-0.08,-0.01,-0.06,0.08,-0.01,-655.61,-2.72,0.15,0,0,0,1,,-0.02,0,-0.03,0.05,0,-2145.17,-2.29,0.12
10,21,0.54,0.73,0.7,0.78,0.74,7092.21,1.3,0.29,0,0,0,0,0.25,0.54,0.43,0.72,0.54,3589.77,36.61,-0.06,0,0,0,0,,0.64,0.79,0.76,0.82,0.79,13011.45,1.07,0.34
10,21,0.42,0.68,0.6,0.8,0.68,12727.03,1.99,0.14,0,0,0,0,0.42,0.68,0.6,0.8,0.68,12727.03,1.99,0.14,0,0,0,0,,0.42,0.68,0.6,0.8,0.68,12727.03,1.99,0.14
10,21,0.13,0.05,0.1,-0.02,0.05,-5634.81,-0.69,0.15,0,0,0,1,-0.16,-0.15,-0.17,-0.07,-0.15,-9137.26,34.62,-0.2,0,0,0,1,,0.22,0.1,0.16,0.02,0.1,284.42,-0.92,0.2
11,21,0.17,0.52,0.38,0.83,0.52,21122.81,11.58,0.42,0,0,0,0,0.57,0.79,0.78,0.8,0.79,9600.51,2.41,0.35,0,0,0,0,,0.58,0.79,0.78,0.81,0.8,5602.43,1.59,0.37
11,21,0.44,0.71,0.64,0.78,0.71,14290.99,2.22,0.16,0,0,0,0,0.44,0.71,0.64,0.78,0.71,14290.99,2.22,0.16,0,0,0,0,,0.44,0.71,0.64,0.78,0.71,14290.99,2.22,0.16
11,21,-0.27,-0.19,-0.27,0.05,-0.19,6831.82,9.36,0.25,0,0,0,1,0.14,0.09,0.14,0.02,0.09,-4690.48,0.19,0.19,0,0,0,1,,0.15,0.09,0.14,0.02,0.09,-8688.56,-0.62,0.2
12,21,0.66,0.8,0.81,0.8,0.81,5825.31,2.11,0.31,0,0,0,0,0.44,0.73,0.71,0.76,0.73,5079.99,2.56,0.17,0,0,0,0,,0.6,0.76,0.68,0.86,0.76,8288.27,1.02,0.35
12,21,0.51,0.72,0.63,0.85,0.73,13487.32,1.99,0.12,0,0,0,0,0.51,0.72,0.63,0.85,0.73,13487.32,1.99,0.12,0,0,0,0,,0.51,0.72,0.63,0.85,0.73,13487.32,1.99,0.12
12,21,0.15,0.08,0.18,-0.05,0.08,-7662.01,0.13,0.19,0,0,0,1,-0.07,0.01,0.07,-0.09,0.01,-8407.32,0.58,0.05,0,0,0,1,,0.09,0.03,0.05,0.01,0.03,-5199.05,-0.97,0.24
13,11,0.51,0.68,0.62,0.76,0.69,2578.24,0.88,0.3,0,0,0,0,0.47,0.75,0.83,0.68,0.75,3922.64,0.72,0.37,0,0,0,0,,0.51,0.74,0.77,0.71,0.74,15393.01,0.57,0.35
13,11,0.53,0.72,0.61,0.87,0.72,12545.39,0.83,0.33,0,0,0,0,0.53,0.72,0.61,0.87,0.72,12545.39,0.83,0.33,0,0,0,0,,0.53,0.72,0.61,0.87,0.72,12545.39,0.83,0.33
13,11,-0.01,-0.03,0.02,-0.11,-0.03,-9967.15,0.04,-0.02,0,0,1,0,-0.06,0.03,0.22,-0.19,0.03,-8622.74,-0.11,0.04,0,0,1,0,,-0.02,0.02,0.16,-0.17,0.02,2847.62,-0.27,0.02
14,4,0,0,0,1,0,1433.44,0,0,0,0,0,0,0.59,0.68,0.89,0.55,0.68,1331.24,0.9,0.23,0,0,0,0,,0.16,0.45,0.82,0.31,0.45,2199.68,0.87,0.32
14,4,0.25,0.53,0.83,0.39,0.53,3425.72,0.65,0.41,0,0,0,0,0.25,0.53,0.83,0.39,0.53,3425.72,0.65,0.41,0,0,0,0,,0.25,0.53,0.83,0.39,0.53,3425.72,0.65,0.41
14,4,-0.25,-0.53,-0.83,0.61,-0.53,-1992.28,-0.65,-0.41,1,0,0,0,0.34,0.16,0.06,0.17,0.16,-2094.48,0.25,-0.18,1,0,0,0,,-0.09,-0.08,-0.01,-0.08,-0.08,-1226.03,0.22,-0.09
15,10,0.51,0.77,0.81,0.73,0.77,11080.89,0.56,0.49,0,0,0,0,0.91,0.92,0.96,0.88,0.92,16378.97,0.59,0.5,0,0,0,0,,0.83,0.88,0.92,0.84,0.88,12029.23,0.64,0.47
15,10,0.66,0.8,0.84,0.76,0.8,15101.24,0.82,0.42,0,0,0,0,0.66,0.8,0.84,0.76,0.8,15101.24,0.82,0.42,0,0,0,0,,0.66,0.8,0.84,0.76,0.8,15101.24,0.82,0.42
15,10,-0.14,-0.03,-0.03,-0.03,-0.03,-4020.35,-0.26,0.07,0,0,0,0,0.26,0.12,0.12,0.12,0.12,1277.74,-0.22,0.08,0,0,0,0,,0.18,0.08,0.08,0.08,0.08,-3072.01,-0.18,0.05
