50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
40,8,0.1,0.09,0.19,0.02,0.09,-2494.3,-0.29,0.17,0,1,0,0,0.28,0.15,0.1,0.2,0.15,19401.15,-0.39,0.22,0,1,0,0,,,,,,,,,
41,16,0.66,0.78,0.78,0.78,0.78,9700.08,1.2,0.31,0,0,0,0,0.4,0.68,0.71,0.65,0.68,4422.9,1.65,0.19,0,0,0,0,,,,,,,,,
41,16,0.61,0.72,0.68,0.76,0.72,9426.74,1.21,0.22,0,0,0,0,0.61,0.72,0.68,0.76,0.72,9426.74,1.21,0.22,0,0,0,0,,,,,,,,,
41,16,0.04,0.06,0.1,0.02,0.06,273.34,0,0.1,0,0,0,1,-0.21,-0.04,0.04,-0.11,-0.04,-5003.85,0.45,-0.02,0,0,0,1,,,,,,,,,
42,10,0.85,0.78,0.78,0.78,0.78,8489.26,0.95,0.46,0,0,0,0,0.59,0.75,0.87,0.67,0.75,8948.04,0.83,0.33,0,0,0,0,,,,,,,,,
42,10,0.78,0.77,0.7,0.85,0.77,8471.26,1.12,0.27,0,0,0,0,0.78,0.77,0.7,0.85,0.77,8471.26,1.12,0.27,0,0,0,0,,,,,,,,,
42,10,0.06,0.01,0.08,-0.07,0.01,18.01,-0.17,0.19,0,0,0,0,-0.2,-0.02,0.16,-0.19,-0.02,476.78,-0.29,0.06,0,0,0,0,,,,,,,,,
43,17,0.82,0.82,0.79,0.86,0.82,12113.56,0.69,0.43,0,0,0,0,0.79,0.82,0.81,0.84,0.83,5170.76,1.45,0.32,0,0,0,0,,,,,,,,,
43,17,0.56,0.74,0.71,0.76,0.74,8983.44,1.48,0.21,0,0,0,0,0.56,0.74,0.71,0.76,0.74,8983.44,1.48,0.21,0,0,0,0,,,,,,,,,
43,17,0.26,0.08,0.08,0.09,0.08,3130.12,-0.79,0.23,0,0,0,1,0.23,0.09,0.1,0.08,0.09,-3812.68,-0.03,0.11,0,0,0,1,,,,,,,,,
45,9,0.78,0.86,0.91,0.81,0.86,24956.51,0.67,0.53,0,0,0,0,0.85,0.8,0.8,0.8,0.8,5444.34,0.78,0.36,0,0,0,0,,,,,,,,,
45,9,0.56,0.67,0.64,0.71,0.67,8373.69,0.84,0.33,0,0,0,0,0.56,0.67,0.64,0.71,0.67,8373.69,0.84,0.33,0,0,0,0,,,,,,,,,
45,9,0.22,0.18,0.26,0.11,0.18,16582.82,-0.17,0.21,0,1,0,0,0.29,0.12,0.16,0.09,0.12,-2929.35,-0.06,0.03,0,1,0,0,,,,,,,,,
46,3,0.41,0.6,0.87,0.46,0.6,8811.1,18.48,0.13,0,0,0,0,0.4,0.57,0.94,0.41,0.57,5505.27,0.59,0.54,0,0,0,0,,,,,,,,,
46,3,0.5,0.66,0.93,0.51,0.66,6413.15,0.56,0.54,0,0,0,0,0.5,0.66,0.93,0.51,0.66,6413.15,0.56,0.54,0,0,0,0,,,,,,,,,
46,3,-0.09,-0.06,-0.06,-0.05,-0.06,2397.95,17.92,-0.41,1,0,0,0,-0.1,-0.09,0.02,-0.1,-0.09,-907.88,0.03,0,1,0,0,0,,,,,,,,,
47,16,0.78,0.82,0.79,0.85,0.82,12920.84,1.36,0.44,0,0,0,0,0.64,0.75,0.8,0.71,0.75,6281.71,1.69,0.31,0,0,0,0,,,,,,,,,
47,16,0.67,0.73,0.65,0.84,0.73,13167.07,1.48,0.25,0,0,0,0,0.67,0.73,0.65,0.84,0.73,13167.07,1.48,0.25,0,0,0,0,,,,,,,,,
47,16,0.12,0.09,0.14,0.01,0.09,-246.22,-0.13,0.19,0,0,0,1,-0.03,0.01,0.14,-0.13,0.02,-6885.36,0.21,0.06,0,0,0,1,,,,,,,,,
48,8,0.75,0.78,0.77,0.8,0.78,4710.47,0.85,0.35,0,0,0,0,0.51,0.77,0.81,0.74,0.77,14503.48,0.67,0.4,0,0,0,0,,,,,,,,,
48,8,0.58,0.75,0.78,0.72,0.75,8589.01,1.82,0.36,0,0,0,0,0.58,0.74,0.78,0.72,0.75,8589.01,1.82,0.36,0,0,0,0,,,,,,,,,
48,8,0.17,0.04,-0.01,0.08,0.04,-3878.54,-0.97,-0.01,0,1,0,0,-0.07,0.03,0.04,0.02,0.03,5914.48,-1.15,0.04,0,1,0,0,,,,,,,,,
49,12,0.29,0.54,0.49,0.6,0.54,2403.92,10.71,0.08,0,0,0,0,0.63,0.78,0.82,0.75,0.78,8012.28,0.9,0.34,0,0,0,0,,,,,,,,,
49,12,0.7,0.74,0.65,0.85,0.74,8990.07,1.2,0.27,0,0,0,0,0.7,0.74,0.65,0.85,0.74,8990.07,1.2,0.27,0,0,0,0,,,,,,,,,
49,12,-0.41,-0.2,-0.16,-0.25,-0.2,-6586.15,9.52,-0.2,0,0,1,0,-0.07,0.04,0.17,-0.1,0.04,-977.79,-0.3,0.06,0,0,1,0,,,,,,,,,
50,15,0.71,0.79,0.79,0.78,0.79,4685.53,1.39,0.27,0,0,0,0,0.49,0.74,0.8,0.69,0.74,5564.47,1.28,0.22,0,0,0,0,,,,,,,,,
50,15,0.54,0.7,0.63,0.77,0.7,9060.49,1.32,0.18,0,0,0,0,0.54,0.7,0.63,0.77,0.7,9060.49,1.32,0.18,0,0,0,0,,,,,,,,,
50,15,0.17,0.09,0.16,0.01,0.09,-4374.96,0.07,0.1,0,0,0,1,-0.05,0.04,0.16,-0.08,0.04,-3496.02,-0.04,0.04,0,0,0,1,,,,,,,,,
51,19,0.76,0.78,0.76,0.8,0.78,8761.54,1.54,0.35,0,0,0,0,0.48,0.73,0.74,0.72,0.73,2479.77,2.31,0.14,0,0,0,0,,,,,,,,,
51,19,0.4,0.65,0.58,0.73,0.65,7132.47,2.81,0.07,0,0,0,0,0.4,0.65,0.58,0.73,0.65,7132.47,2.81,0.07,0,0,0,0,,,,,,,,,
51,19,0.37,0.13,0.17,0.07,0.13,1629.07,-1.27,0.28,0,0,0,1,0.08,0.08,0.16,0,0.08,-4652.69,-0.5,0.07,0,0,0,1,,,,,,,,,
52,13,0.55,0.72,0.68,0.76,0.72,7333.99,1.08,0.28,0,0,0,0,0.67,0.82,0.85,0.79,0.82,10732.81,0.94,0.39,0,0,0,0,,,,,,,,,
52,13,0.55,0.74,0.67,0.82,0.74,10254.29,1.05,0.27,0,0,0,0,0.55,0.74,0.67,0.82,0.74,10254.29,1.05,0.27,0,0,0,0,,,,,,,,,
52,13,0,-0.02,0.01,-0.06,-0.02,-2920.3,0.03,0.01,0,0,1,0,0.12,0.08,0.18,-0.03,0.08,478.52,-0.11,0.13,0,0,1,0,,,,,,,,,
53,4,0.39,0.63,0.92,0.47,0.63,1073,1.07,0.05,0,0,0,0,0.33,0.59,0.94,0.43,0.59,5182.33,0.68,0.42,0,0,0,0,,,,,,,,,
53,4,0.35,0.6,0.93,0.44,0.6,5506.72,0.53,0.55,0,0,0,0,0.35,0.6,0.93,0.44,0.6,5506.72,0.53,0.55,0,0,0,0,,,,,,,,,
53,4,0.03,0.03,0,0.03,0.03,-4433.72,0.54,-0.5,1,0,0,0,-0.02,-0.01,0.02,-0.02,-0.01,-324.4,0.15,-0.13,1,0,0,0,,,,,,,,,
54,6,0.82,0.8,0.86,0.74,0.8,12891.71,0.64,0.42,0,0,0,0,0.6,0.7,0.79,0.64,0.71,11777.57,0.82,0.33,0,0,0,0,,,,,,,,,
54,6,0.48,0.69,0.8,0.6,0.69,13980.11,0.74,0.36,0,0,0,0,0.48,0.69,0.8,0.6,0.69,13980.11,0.74,0.36,0,0,0,0,,,,,,,,,
54,6,0.33,0.11,0.06,0.14,0.11,-1088.4,-0.1,0.07,0,1,0,0,0.12,0.01,-0.02,0.03,0.02,-2202.54,0.08,-0.03,0,1,0,0,,,,,,,,,
55,20,0.68,0.77,0.73,0.82,0.77,9392.75,1.06,0.32,0,0,0,0,0.71,0.78,0.76,0.81,0.78,13660.26,1.32,0.32,0,0,0,0,,,,,,,,,
55,20,0.43,0.65,0.59,0.73,0.65,9776.13,2.1,0.12,0,0,0,0,0.43,0.65,0.59,0.73,0.65,9776.13,2.1,0.12,0,0,0,0,,,,,,,,,
55,20,0.25,0.12,0.13,0.1,0.12,-383.38,-1.04,0.2,0,0,0,1,0.28,0.13,0.17,0.09,0.13,3884.13,-0.78,0.21,0,0,0,1,,,,,,,,,
56,18,0.14,0.49,0.37,0.75,0.49,3890.12,2.74,0.18,0,0,0,0,0.61,0.77,0.75,0.8,0.78,12305.08,1.52,0.28,0,0,0,0,,,,,,,,,
56,18,0.56,0.71,0.64,0.79,0.71,13755.61,2.36,0.19,0,0,0,0,0.56,0.71,0.64,0.79,0.71,13755.61,2.36,0.19,0,0,0,0,,,,,,,,,
56,18,-0.42,-0.22,-0.28,-0.04,-0.22,-9865.49,0.38,-0.01,0,0,0,1,0.05,0.07,0.11,0.01,0.07,-1450.53,-0.85,0.09,0,0,0,1,,,,,,,,,
57,7,0.79,0.77,0.72,0.83,0.77,10497.29,1.39,0.52,0,0,0,0,0,0,0,1,0,4181.47,0,0,0,0,0,0,,,,,,,,,
57,7,0.87,0.84,0.87,0.82,0.84,13429.13,0.92,0.51,0,0,0,0,0.87,0.84,0.87,0.82,0.84,13429.13,0.92,0.51,0,0,0,0,,,,,,,,,
57,7,-0.08,-0.07,-0.15,0.01,-0.07,-2931.85,0.46,0.01,0,1,0,0,-0.87,-0.84,-0.87,0.18,-0.84,-9247.66,-0.92,-0.51,0,1,0,0,,,,,,,,,
58,8,0.35,0.61,0.57,0.65,0.61,3168.53,1.46,0.33,0,0,0,0,0.93,0.89,0.94,0.85,0.89,10620.75,0.62,0.5,0,0,0,0,,,,,,,,,
58,8,0.86,0.82,0.82,0.83,0.82,23287.24,0.84,0.47,0,0,0,0,0.86,0.82,0.82,0.83,0.82,23287.24,0.84,0.47,0,0,0,0,,,,,,,,,
58,8,-0.51,-0.21,-0.25,-0.17,-0.21,-20118.71,0.62,-0.14,0,1,0,0,0.07,0.07,0.12,0.02,0.07,-12666.49,-0.22,0.03,0,1,0,0,,,,,,,,,
59,3,0.38,0.54,0.86,0.39,0.54,7424.02,0.71,0.45,0,0,0,0,0.75,0.64,0.83,0.53,0.64,5272.47,0.74,0.45,0,0,0,0,,,,,,,,,
59,3,0.77,0.7,0.79,0.63,0.7,13036.53,0.64,0.47,0,0,0,0,0.77,0.7,0.79,0.63,0.7,13036.53,0.64,0.47,0,0,0,0,,,,,,,,,
59,3,-0.39,-0.16,0.07,-0.24,-0.16,-5612.51,0.07,-0.03,1,0,0,0,-0.02,-0.06,0.04,-0.11,-0.06,-7764.06,0.09,-0.02,1,0,0,0,,,,,,,,,
60,13,0.66,0.79,0.85,0.74,0.79,12718.71,0.75,0.39,0,0,0,0,0.68,0.82,0.88,0.76,0.82,5708.76,0.98,0.28,0,0,0,0,,,,,,,,,
60,13,0.53,0.67,0.61,0.74,0.67,7954.65,2.59,0.16,0,0,0,0,0.53,0.67,0.61,0.74,0.67,7954.65,2.59,0.16,0,0,0,0,,,,,,,,,
60,13,0.13,0.12,0.24,0,0.12,4764.06,-1.84,0.23,0,0,1,0,0.15,0.15,0.26,0.02,0.15,-2245.89,-1.61,0.12,0,0,1,0,,,,,,,,,
61,18,0.8,0.82,0.81,0.84,0.82,18170.65,1.06,0.37,0,0,0,0,0.53,0.76,0.73,0.8,0.76,7329.86,0.85,0.35,0,0,0,0,,,,,,,,,
61,18,0.51,0.72,0.69,0.75,0.72,11263.33,1.38,0.17,0,0,0,0,0.51,0.72,0.69,0.75,0.72,11263.33,1.38,0.17,0,0,0,0,,,,,,,,,
61,18,0.29,0.11,0.12,0.09,0.11,6907.32,-0.33,0.2,0,0,0,1,0.02,0.04,0.04,0.05,0.04,-3933.47,-0.53,0.18,0,0,0,1,,,,,,,,,
62,7,0.3,0.57,0.69,0.48,0.57,6548.11,1.01,0.24,0,0,0,0,0.44,0.63,0.72,0.56,0.63,8791.03,0.8,0.36,0,0,0,0,,,,,,,,,
62,7,0.48,0.66,0.7,0.63,0.66,9153.56,0.88,0.27,0,0,0,0,0.48,0.66,0.7,0.63,0.66,9153.56,0.88,0.27,0,0,0,0,,,,,,,,,
62,7,-0.18,-0.09,-0.01,-0.14,-0.09,-2605.46,0.12,-0.02,0,1,0,0,-0.04,-0.03,0.02,-0.07,-0.03,-362.54,-0.08,0.09,0,1,0,0,,,,,,,,,
63,14,0.88,0.81,0.85,0.78,0.82,5334.8,1.1,0.4,0,0,0,0,0.86,0.81,0.82,0.79,0.81,5288.98,1.09,0.35,0,0,0,0,,,,,,,,,
63,14,0.81,0.74,0.73,0.75,0.74,4972.43,1.85,0.3,0,0,0,0,0.81,0.74,0.73,0.75,0.74,4972.43,1.85,0.3,0,0,0,0,,,,,,,,,
63,14,0.06,0.07,0.12,0.03,0.08,362.37,-0.75,0.1,0,0,1,0,0.05,0.07,0.09,0.04,0.07,316.55,-0.76,0.05,0,0,1,0,,,,,,,,,
64,5,0.91,0.81,0.91,0.73,0.81,19998.4,0.93,0.53,0,0,0,0,0.33,0.65,0.93,0.5,0.65,5341.43,0.74,0.44,0,0,0,0,,,,,,,,,
64,5,0.96,0.9,0.92,0.88,0.9,9237.6,0.77,0.51,0,0,0,0,0.96,0.9,0.92,0.88,0.9,9237.6,0.77,0.51,0,0,0,0,,,,,,,,,
64,5,-0.04,-0.09,-0.01,-0.15,-0.09,10760.8,0.16,0.01,1,0,0,0,-0.63,-0.25,0.01,-0.37,-0.25,-3896.17,-0.04,-0.07,1,0,0,0,,,,,,,,,
65,18,0.58,0.79,0.73,0.86,0.79,4140.08,1.45,0.35,0,0,0,0,0.63,0.77,0.7,0.84,0.77,3463.18,1.43,0.36,0,0,0,0,,,,,,,,,
65,18,0.38,0.67,0.57,0.81,0.67,11271.72,1.32,0.13,0,0,0,0,0.38,0.67,0.57,0.81,0.67,11271.72,1.32,0.13,0,0,0,0,,,,,,,,,
65,18,0.2,0.12,0.16,0.05,0.12,-7131.64,0.13,0.22,0,0,0,1,0.26,0.1,0.13,0.04,0.1,-7808.54,0.11,0.24,0,0,0,1,,,,,,,,,
66,15,0.6,0.72,0.73,0.71,0.72,11341.07,1.26,0.3,0,0,0,0,0.56,0.75,0.72,0.77,0.75,12294.23,1.1,0.28,0,0,0,0,,,,,,,,,
66,15,0.32,0.66,0.54,0.84,0.66,14598.21,1.53,0.2,0,0,0,0,0.32,0.66,0.54,0.84,0.66,14598.21,1.53,0.2,0,0,0,0,,,,,,,,,
66,15,0.28,0.06,0.19,-0.13,0.06,-3257.14,-0.27,0.1,0,0,0,1,0.24,0.09,0.18,-0.07,0.09,-2303.98,-0.43,0.08,0,0,0,1,,,,,,,,,
67,14,0.54,0.73,0.72,0.74,0.73,1355.68,4.5,0.23,0,0,0,0,0.76,0.81,0.78,0.84,0.81,8811.71,1.17,0.42,0,0,0,0,,,,,,,,,
67,14,0.58,0.71,0.64,0.81,0.71,13418.11,1.23,0.24,0,0,0,0,0.58,0.71,0.64,0.81,0.71,13418.11,1.23,0.24,0,0,0,0,,,,,,,,,
67,14,-0.05,0.02,0.08,-0.07,0.02,-12062.44,3.26,-0.01,0,0,1,0,0.17,0.09,0.14,0.03,0.09,-4606.4,-0.07,0.18,0,0,1,0,,,,,,,,,
68,10,0.69,0.76,0.7,0.84,0.76,48408.3,0.59,0.53,0,0,0,0,0.7,0.82,0.89,0.76,0.82,6677.88,0.65,0.34,0,0,0,0,,,,,,,,,
68,10,0.92,0.85,0.85,0.84,0.85,8981.25,0.86,0.48,0,0,0,0,0.92,0.85,0.85,0.84,0.85,8981.25,0.86,0.48,0,0,0,0,,,,,,,,,
68,10,-0.22,-0.08,-0.15,0,-0.08,39427.04,-0.27,0.06,0,0,0,0,-0.22,-0.03,0.04,-0.08,-0.03,-2303.38,-0.21,-0.13,0,0,0,0,,,,,,,,,
69,16,0.75,0.82,0.76,0.88,0.82,24966.31,0.7,0.38,0,0,0,0,0.91,0.9,0.92,0.88,0.9,18682.96,0.64,0.53,0,0,0,0,,,,,,,,,
69,16,0.68,0.78,0.75,0.82,0.78,17072.95,1.4,0.27,0,0,0,0,0.68,0.78,0.75,0.82,0.78,17072.95,1.4,0.27,0,0,0,0,,,,,,,,,
69,16,0.07,0.03,0.01,0.06,0.03,7893.36,-0.7,0.12,0,0,0,1,0.23,0.12,0.17,0.06,0.12,1610.01,-0.76,0.26,0,0,0,1,,,,,,,,,
70,12,0.85,0.83,0.83,0.84,0.84,10898.56,0.87,0.41,0,0,0,0,0.63,0.74,0.71,0.77,0.74,7319.94,1.25,0.22,0,0,0,0,,,,,,,,,
70,12,0.55,0.68,0.6,0.79,0.68,9467.6,1.3,0.2,0,0,0,0,0.55,0.68,0.6,0.79,0.68,9467.6,1.3,0.2,0,0,0,0,,,,,,,,,
70,12,0.31,0.15,0.23,0.04,0.15,1430.95,-0.43,0.21,0,0,1,0,0.09,0.06,0.11,-0.02,0.06,-2147.66,-0.05,0.02,0,0,1,0,,,,,,,,,
71,20,0.75,0.82,0.79,0.86,0.82,18540.4,0.97,0.45,0,0,0,0,0.39,0.69,0.66,0.73,0.69,12237.14,1.82,0.39,0,0,0,0,,,,,,,,,
71,20,0.43,0.71,0.61,0.84,0.71,14214.13,1.64,0.2,0,0,0,0,0.43,0.71,0.61,0.84,0.71,14214.13,1.64,0.2,0,0,0,0,,,,,,,,,
71,20,0.32,0.11,0.18,0.01,0.11,4326.27,-0.67,0.25,0,0,0,1,-0.03,-0.02,0.05,-0.11,-0.02,-1976.99,0.18,0.19,0,0,0,1,,,,,,,,,
72,17,0.38,0.6,0.46,0.87,0.61,13055.77,27.53,0.16,0,0,0,0,0.76,0.78,0.8,0.77,0.78,8607.19,1.16,0.33,0,0,0,0,,,,,,,,,
72,17,0.62,0.71,0.64,0.8,0.71,8863.81,1.46,0.13,0,0,0,0,0.62,0.71,0.64,0.8,0.71,8863.81,1.46,0.13,0,0,0,0,,,,,,,,,
72,17,-0.24,-0.11,-0.18,0.07,-0.11,4191.97,26.07,0.03,0,0,0,1,0.14,0.07,0.16,-0.04,0.07,-256.61,-0.31,0.2,0,0,0,1,,,,,,,,,
73,10,0.8,0.8,0.79,0.81,0.8,9579.68,0.86,0.4,0,0,0,0,0.52,0.66,0.66,0.67,0.66,554.34,4.78,-0.11,0,0,0,0,,,,,,,,,
73,10,0.61,0.78,0.81,0.75,0.78,9626.27,0.8,0.39,0,0,0,0,0.61,0.78,0.81,0.75,0.78,9626.27,0.8,0.39,0,0,0,0,,,,,,,,,
73,10,0.19,0.02,-0.01,0.05,0.02,-46.59,0.07,0.02,0,0,0,0,-0.09,-0.12,-0.15,-0.08,-0.12,-9071.93,3.99,-0.5,0,0,0,0,,,,,,,,,
74,21,0.57,0.76,0.73,0.8,0.77,11970.79,0.98,0.34,0,0,0,0,0.37,0.71,0.66,0.78,0.71,7119.63,0.93,0.25,0,0,0,0,,,,,,,,,
74,21,0.52,0.71,0.68,0.76,0.72,12793.33,2.75,0.16,0,0,0,0,0.52,0.71,0.68,0.76,0.72,12793.33,2.75,0.16,0,0,0,0,,,,,,,,,
74,21,0.04,0.05,0.06,0.04,0.05,-822.53,-1.77,0.17,0,0,0,1,-0.15,0,-0.02,0.02,0,-5673.69,-1.82,0.08,0,0,0,1,,,,,,,,,
75,20,0.37,0.66,0.59,0.75,0.66,3100.57,10,-0.04,0,0,0,0,0.56,0.72,0.66,0.8,0.72,8412.4,2.27,0.29,0,0,0,0,,,,,,,,,
75,20,0.64,0.74,0.67,0.81,0.74,10456.07,2.86,0.22,0,0,0,0,0.64,0.74,0.67,0.81,0.74,10456.07,2.86,0.22,0,0,0,0,,,,,,,,,
75,20,-0.26,-0.07,-0.08,-0.07,-0.07,-7355.5,7.14,-0.26,0,0,0,1,-0.08,-0.02,-0.01,-0.02,-0.01,-2043.66,-0.59,0.07,0,0,0,1,,,,,,,,,
76,4,0.26,0.53,0.88,0.38,0.53,2077.85,3.31,0.31,0,0,0,0,0.24,0.5,0.87,0.35,0.5,3637.12,0.82,0.36,0,0,0,0,,,,,,,,,
76,4,0.92,0.86,0.87,0.84,0.86,12277.73,0.97,0.64,0,0,0,0,0.92,0.86,0.87,0.84,0.86,12277.73,0.97,0.64,0,0,0,0,,,,,,,,,
76,4,-0.66,-0.33,0.01,-0.46,-0.33,-10199.88,2.34,-0.33,1,0,0,0,-0.69,-0.36,0,-0.49,-0.36,-8640.61,-0.15,-0.28,1,0,0,0,,,,,,,,,
77,6,0.56,0.72,0.88,0.61,0.72,8574.21,0.69,0.45,0,0,0,0,0.54,0.75,0.89,0.65,0.75,2542.12,0.96,0.36,0,0,0,0,,,,,,,,,
77,6,0.91,0.86,0.88,0.84,0.86,8742.06,0.64,0.48,0,0,0,0,0.91,0.86,0.88,0.84,0.86,8742.06,0.64,0.48,0,0,0,0,,,,,,,,,
77,6,-0.35,-0.14,-0.01,-0.22,-0.14,-167.86,0.05,-0.03,0,1,0,0,-0.36,-0.11,0.01,-0.19,-0.11,-6199.94,0.32,-0.12,0,1,0,0,,,,,,,,,
79,21,0.5,0.76,0.7,0.84,0.76,14071.93,1.36,0.25,0,0,0,0,0.62,0.79,0.74,0.85,0.79,13975.38,1.05,0.35,0,0,0,0,,,,,,,,,
79,21,0.46,0.72,0.66,0.8,0.72,13693.21,1.39,0.2,0,0,0,0,0.46,0.72,0.66,0.8,0.72,13693.21,1.39,0.2,0,0,0,0,,,,,,,,,
79,21,0.04,0.04,0.04,0.05,0.04,378.72,-0.02,0.05,0,0,0,1,0.16,0.07,0.08,0.06,0.07,282.17,-0.33,0.15,0,0,0,1,,,,,,,,,
80,11,0.76,0.79,0.76,0.82,0.79,9674.95,1.57,0.39,0,0,0,0,0.64,0.74,0.76,0.73,0.75,5104.1,1.04,0.33,0,0,0,0,,,,,,,,,
80,11,0.75,0.79,0.73,0.86,0.79,11599.04,1.17,0.36,0,0,0,0,0.75,0.79,0.73,0.86,0.79,11599.04,1.17,0.36,0,0,0,0,,,,,,,,,
80,11,0.01,0,0.03,-0.04,0,-1924.09,0.4,0.02,0,0,1,0,-0.11,-0.04,0.04,-0.13,-0.04,-6494.93,-0.13,-0.04,0,0,1,0,,,,,,,,,
81,9,0.47,0.68,0.65,0.71,0.68,16118.12,0.9,0.35,0,0,0,0,0.71,0.81,0.77,0.86,0.81,24110.21,0.43,0.47,0,0,0,0,,,,,,,,,
81,9,0.6,0.74,0.7,0.79,0.74,18287.75,0.87,0.31,0,0,0,0,0.6,0.74,0.7,0.79,0.74,18287.75,0.87,0.31,0,0,0,0,,,,,,,,,
81,9,-0.13,-0.07,-0.05,-0.08,-0.07,-2169.63,0.03,0.04,0,1,0,0,0.1,0.07,0.06,0.07,0.07,5822.46,-0.43,0.16,0,1,0,0,,,,,,,,,
82,15,0.7,0.75,0.75,0.76,0.75,5242.72,0.99,0.3,0,0,0,0,0.74,0.78,0.79,0.78,0.79,10661.03,0.86,0.37,0,0,0,0,,,,,,,,,
82,15,0.45,0.66,0.55,0.83,0.66,14685.66,1.21,0.21,0,0,0,0,0.45,0.66,0.55,0.83,0.66,14685.66,1.21,0.21,0,0,0,0,,,,,,,,,
82,15,0.25,0.09,0.2,-0.07,0.09,-9442.95,-0.22,0.09,0,0,0,1,0.3,0.12,0.24,-0.05,0.12,-4024.63,-0.35,0.16,0,0,0,1,,,,,,,,,
83,5,0.36,0.69,0.98,0.53,0.69,8395.63,0.4,0.6,0,0,0,0,0.56,0.73,0.97,0.59,0.73,10183.37,0.5,0.59,0,0,0,0,,,,,,,,,
83,5,0.96,0.93,0.96,0.9,0.93,18235.33,0.4,0.64,0,0,0,0,0.96,0.93,0.96,0.9,0.93,18235.33,0.4,0.64,0,0,0,0,,,,,,,,,
83,5,-0.6,-0.24,0.02,-0.36,-0.24,-9839.7,0,-0.04,1,0,0,0,-0.4,-0.2,0,-0.31,-0.2,-8051.96,0.1,-0.05,1,0,0,0,,,,,,,,,
84,7,0.59,0.76,0.9,0.65,0.76,5840.06,0.66,0.47,0,0,0,0,0.45,0.68,0.9,0.55,0.68,6289.92,0.74,0.38,0,0,0,0,,,,,,,,,
84,7,0.56,0.71,0.8,0.64,0.71,7704.99,0.74,0.45,0,0,0,0,0.56,0.71,0.8,0.64,0.71,7704.99,0.74,0.45,0,0,0,0,,,,,,,,,
84,7,0.03,0.05,0.1,0.02,0.05,-1864.93,-0.08,0.03,0,1,0,0,-0.11,-0.03,0.09,-0.09,-0.03,-1415.07,-0.01,-0.07,0,1,0,0,,,,,,,,,
85,19,0.6,0.8,0.79,0.81,0.8,9304.1,0.83,0.37,0,0,0,0,0.58,0.77,0.76,0.79,0.77,11126.71,1.07,0.32,0,0,0,0,,,,,,,,,
85,19,0.63,0.75,0.67,0.85,0.75,11466.5,1.87,0.17,0,0,0,0,0.63,0.75,0.67,0.85,0.75,11466.5,1.87,0.17,0,0,0,0,,,,,,,,,
85,19,-0.02,0.05,0.12,-0.04,0.05,-2162.4,-1.04,0.2,0,0,0,1,-0.05,0.02,0.08,-0.05,0.02,-339.79,-0.8,0.15,0,0,0,1,,,,,,,,,
86,19,0.6,0.79,0.74,0.86,0.79,14798.29,0.82,0.4,0,0,0,0,0.72,0.82,0.83,0.81,0.82,10778.33,0.82,0.35,0,0,0,0,,,,,,,,,
86,19,0.48,0.71,0.63,0.82,0.71,13907.59,3.4,0.13,0,0,0,0,0.48,0.71,0.63,0.82,0.71,13907.59,3.4,0.13,0,0,0,0,,,,,,,,,
86,19,0.12,0.08,0.11,0.03,0.08,890.7,-2.58,0.27,0,0,0,1,0.24,0.11,0.2,-0.01,0.11,-3129.26,-2.58,0.22,0,0,0,1,,,,,,,,,
87,6,0.54,0.74,0.85,0.66,0.74,8523.52,1.02,0.32,0,0,0,0,0.79,0.8,0.74,0.86,0.8,11179.08,0.78,0.37,0,0,0,0,,,,,,,,,
87,6,0.48,0.66,0.72,0.62,0.67,14111.42,1.59,0.31,0,0,0,0,0.48,0.66,0.72,0.62,0.67,14111.42,1.59,0.31,0,0,0,0,,,,,,,,,
87,6,0.06,0.08,0.14,0.04,0.08,-5587.9,-0.57,0.01,0,1,0,0,0.31,0.13,0.03,0.24,0.13,-2932.34,-0.81,0.06,0,1,0,0,,,,,,,,,
88,9,0.91,0.88,0.85,0.91,0.88,32290.59,0.52,0.58,0,0,0,0,0.66,0.83,0.95,0.73,0.83,8121.38,0.66,0.46,0,0,0,0,,,,,,,,,
88,9,0.79,0.77,0.79,0.75,0.77,8522.95,0.89,0.36,0,0,0,0,0.79,0.77,0.79,0.75,0.77,8522.95,0.89,0.36,0,0,0,0,,,,,,,,,
88,9,0.12,0.11,0.06,0.17,0.11,23767.63,-0.37,0.22,0,1,0,0,-0.13,0.06,0.16,-0.01,0.06,-401.57,-0.23,0.1,0,1,0,0,,,,,,,,,
89,4,0.56,0.77,0.96,0.65,0.77,50583.54,0.35,0.7,0,0,0,0,0.47,0.63,0.89,0.49,0.63,2996.87,0.73,0.26,0,0,0,0,,,,,,,,,
89,4,0.94,0.88,0.93,0.84,0.88,15007.64,0.47,0.65,0,0,0,0,0.94,0.88,0.93,0.84,0.88,15007.64,0.47,0.65,0,0,0,0,,,,,,,,,
89,4,-0.38,-0.11,0.03,-0.19,-0.11,35575.91,-0.12,0.05,1,0,0,0,-0.48,-0.25,-0.04,-0.35,-0.25,-12010.77,0.26,-0.38,1,0,0,0,,,,,,,,,
