Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.6591446919477517,0.8331914996788813,0.6863539056011607,0.016349609252102836,0.004471408635357076,0.01626451697947002,21
11,0.7225882200044766,0.859722434341071,0.747936358287576,0.013868322736832488,0.005599602036970162,0.013017622836002007,21
12,0.5844553244533411,0.7910497866782834,0.6220750240586866,0.02385111575442963,0.005384882182045276,0.021710868840626205,21
13,0.5918196473784576,0.7566270600056265,0.6768851046670386,0.0007347618352200707,0.0007197750309540707,0.0006451269043571614,11
14,0.516450968782338,0.6283849529688869,0.7114151108258514,0.0,7.762744877793948e-17,0.0,4
15,0.8252809839252229,0.9080579373983909,0.8549457308863684,0.00010406662879768256,3.159125585449764e-05,8.361590911168424e-05,10
16,0.6669458850663692,0.7860711825420026,0.7385461922724427,0.00017726812761650995,0.0001382934913920527,0.000150161902086105,9
17,0.7644209841541371,0.8707041188365048,0.8078763501685301,0.00024586226805293744,0.00014594856111317182,0.0001976846047452481,10
18,0.6517594773161801,0.8089101646356709,0.7297349354382616,0.011163208197745814,0.005339283488687441,0.00969226626158851,8
19,0.706860016990907,0.8495278713978045,0.7360135512681699,0.03395715133249787,0.011357004205079351,0.03241223437545919,19
20,0.6633987289239541,0.8159080890802439,0.7090175184895101,0.030197326890316727,0.006974975139548205,0.025922245953215985,15
21,0.5454819308183351,0.6440021941202885,0.7486050728059022,0.0,0.0,0.0,5
22,0.67694897375457,0.8061082042577493,0.7499571958203304,0.00015440929810595053,0.00018586405191827583,0.00011991768892737051,7
23,0.7286865260027469,0.8628505892176055,0.756176389857228,0.028687598025115647,0.011458707880021958,0.025750900724486818,18
