0.32,0.52,0.54,0.57,0.52,3645.56,3.2,0.18
0.62,0.72,0.71,0.75,0.72,9892.54,1.79,0.37
0.62, 0.72,0.72, 0.75,0.72, 9800.13,1.77, 0.37
0.62, 0.71,0.68, 0.77,0.71, 11497.89,1.79, 0.29
