Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.49055570039711927,0.7130958331475042,0.5279637034602861,0.00713761190925246,0.00162393840380917,0.007043234271804833,21
11,0.535280037052084,0.7344748512108252,0.5730380906395176,0.006783003334123706,0.001376086588082745,0.00661667778629835,21
12,0.4409035613568496,0.6826179751916142,0.49165921683007197,0.016006178254779135,0.0043239029961036355,0.01493706809668572,21
13,0.4913296625101094,0.6555163988412097,0.5899496741037152,0.0014597632630303794,0.0005499025755023225,0.0012170596279896004,11
14,0.5208740537890416,0.6264132976275947,0.7145081310903589,0.00011176374796424502,0.00047572729695025053,7.525376335198552e-05,4
15,0.5310474160362219,0.7223690562496113,0.5979177119155425,0.01824103576830062,0.00845422322004826,0.01615222078093744,10
16,0.5900006674667113,0.7046829739477339,0.6746984829695593,0.0005186245202688372,0.0006310247083753029,0.0004361047858602877,9
17,0.667999008744998,0.774431629891323,0.7240479506387641,0.0013645458089983876,0.0010808834143702004,0.0011821388799970176,10
18,0.497232346976584,0.6421861929015711,0.6021916211040323,0.0015990802115563262,0.0007940902712551531,0.001332459866049044,8
19,0.44000860778956674,0.6705849435193044,0.48676055200573853,0.004403240966802803,0.0029924631947966253,0.0038308349403331217,19
20,0.5024151767002357,0.6892384882817846,0.5605133843902214,0.01002337289327229,0.0037789334312870095,0.009606755737858776,15
21,0.5268363470329424,0.6395258251521656,0.7361329142525029,8.311750188471064e-05,3.001283709932664e-05,5.620162805286949e-05,5
22,0.6054911712259721,0.7216588837468264,0.6917095093581955,0.0004640714799246149,0.000218711822137662,0.0003726533388409064,7
23,0.5011498191102612,0.7121492618557927,0.5451801470459151,0.001916720277902609,0.0013558214656504378,0.0017803011415639704,18
