Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.5531982159761363,0.7543994524273404,0.5876357990999087,0.005057960351409213,0.0011576688444905317,0.004906422511109998,21
11,0.6289591128202762,0.7927549005491213,0.6621975083475923,0.00028592348596563947,0.00020013888243913632,0.00026593930844827314,21
12,0.4786605040093288,0.7008829715073056,0.5261051922191109,0.022883992420351766,0.007142196440049193,0.021627655189674976,21
13,0.5692744067876335,0.7245308076274517,0.6579907737557507,0.0005537166032735371,0.0004252795893025599,0.00042560336265906644,11
14,0.5193193702026211,0.6263795619092729,0.7134363405092952,0.0,4.681111291435601e-17,0.0,4
15,0.7491750071339335,0.8462083572356055,0.7898829428167344,0.035758419886272,0.015427614491791905,0.03109134360409851,10
16,0.6339446260749297,0.7418562305322538,0.7115587328686281,0.00021413558971163782,0.0004162421701268007,0.00017469920585648537,9
17,0.7378139046926633,0.8413644703734265,0.7845954558572774,0.0002185726224333688,0.0002273203079115031,0.0001967448119114886,10
18,0.5385965210192675,0.6866831574538834,0.6378060981916844,0.0030818710201741435,0.0020229820710206715,0.0025936848511065834,8
19,0.5442054602611135,0.7382214945685872,0.5853884157630128,0.003263814589059511,0.0010712021841368753,0.0031017600543126332,19
20,0.5366423069313764,0.7172029998698751,0.592560487330778,0.006264266597362012,0.0015789239676805178,0.006357987856719412,15
21,0.5201197342895815,0.6380554408356695,0.7315572118173678,0.0,4.681111291435601e-17,0.0,5
22,0.6345492984265634,0.7516528036525114,0.7155308238972815,0.0009755969059321093,0.0009062969448114806,0.0007886831907615535,7
23,0.5812847195650652,0.7649940116690076,0.6201473962403996,0.015942937024452323,0.005822308768337489,0.014419837547210856,18
