Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.4034226952597438,0.6419936799468046,0.4456077169013651,0.001223348834870027,0.0008409833808058661,0.0012269983945853418,21
11,0.40376773352266004,0.6215140469017364,0.4471989178404351,0.013618280212881556,0.005269368140393909,0.012704856148955602,21
12,0.4196846360237607,0.645999637891338,0.47010137645555117,0.007181358002999756,0.0017584788817609411,0.006295823271502413,21
13,0.45209577217528585,0.6228710204788481,0.5528334778657433,0.0006936816393187317,0.0003109718538753963,0.0006151237446121471,11
14,0.5245099446678767,0.6053054907426071,0.7173787683336875,3.703472687440526e-05,1.2630158108462472e-05,2.5816738125467308e-05,4
15,0.45162100925070375,0.6553281286985586,0.5272716540754538,0.008847333819674414,0.0017851524458993662,0.007717724217146492,10
16,0.5513308538844576,0.6578594630395592,0.641319999662724,0.03135430614700289,0.01159076564739332,0.026224530711183212,9
17,0.6281660587058001,0.7508882825117027,0.6899959015398321,0.0005190804294712952,0.00015689018646823175,0.0004531221696735975,10
18,0.4504959762457185,0.6227553406296931,0.5612434149228506,0.0007100355234231433,0.0004778533628279654,0.0005968189075329396,8
19,0.42668624606712324,0.6445464647321596,0.4734208575829457,0.0073059858433625205,0.002170625930225688,0.007260537854219057,19
20,0.5039121859368226,0.6505670286918082,0.5596856905243941,0.027171594961202167,0.005621648783270125,0.024201578278775802,15
21,0.5116390867839364,0.6005298756283148,0.726306333713939,5.790730174776238e-05,1.9870877958341676e-05,3.962206395360547e-05,5
22,0.6088599277074677,0.7062504527844109,0.6947256066205081,0.000791671164383786,0.0003282383376664026,0.0006292801221765807,7
23,0.30555309338536923,0.5387100856229442,0.3599613244160932,0.00652892881372461,0.0017946399393038433,0.00613921889084143,18
