Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.6781620801885734,0.8448211843058018,0.7047115388855999,0.01606469415786971,0.0037346914371898174,0.01620712190170734,21
11,0.7166264780899526,0.8578849567354863,0.7422344175512134,0.01613624565909441,0.005027807485076726,0.01477709604875989,21
12,0.585751629017074,0.7932756748340617,0.6228246427488192,0.01540461866402765,0.0038323946087934478,0.014221841305291845,21
13,0.5915014817955898,0.7569635411180147,0.6766924295414166,0.0008039330582485461,0.00045319751364851724,0.0006679022793170406,11
14,0.5153200819441717,0.6275493984863401,0.7106290362640395,0.0,5.851389114294502e-17,0.0,4
15,0.8291282009613253,0.9092529071131398,0.8580388290100823,6.987807858197975e-06,6.010255834459812e-05,5.634080785415987e-06,10
16,0.634569434089763,0.7707498751747333,0.7113538118544406,0.052296004362797965,0.024007067267537697,0.043975973046439694,9
17,0.7677234654017573,0.8731614637927465,0.8106556703321296,0.00012517470172657242,0.00022189249295995845,0.00011228650382492515,10
18,0.685227300477566,0.8279858408401952,0.7568821380830073,0.012918576013413532,0.0017280951725677956,0.011733071277859775,8
19,0.7137977761140175,0.8557582846833196,0.7427960650300764,0.023879767796865445,0.010153006380217353,0.02275760854304185,19
20,0.6453788400910373,0.8170155655534043,0.6929207374680307,0.024828799889568924,0.005551849301699356,0.02167051299026213,15
21,0.5475007631118329,0.6459833330632166,0.7499347215721576,0.0,5.73316704659901e-17,0.0,5
22,0.6806062570391052,0.8124369406762104,0.7529399761900932,5.358759205566036e-06,1.5762186091948154e-06,4.169299524904861e-06,7
23,0.7278917505046174,0.8631806760048464,0.7559743790843698,0.02319103396243092,0.007509127111503751,0.02059412743757251,18
