Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.5771704710469041,0.7595430407954598,0.6085534696544425,0.032279414063224786,0.007271787715209918,0.030155681027632626,21
11,0.6046926519698699,0.7746812333521613,0.6368481046745224,0.02244582230970653,0.005085825728103038,0.020892607927133416,21
12,0.5511656731972806,0.7413768671078071,0.5939568506130467,0.014769954301537002,0.007383259786191228,0.013705195977268813,21
13,0.6300536970280469,0.7436111590313064,0.7050283674043547,0.006481809384195788,0.004617199892374478,0.005637818653525804,11
14,0.4320215874271393,0.47131634614851653,0.6561546525608074,0.00052180006141837,0.00033171251539366423,0.0003681254931059957,4
15,0.6827777470566941,0.7982432629974051,0.7299974757652626,0.0001915229856833722,0.00017983700554474562,0.0001675054816696417,10
16,0.6612328902622869,0.7537754490852558,0.7353777565453613,0.00010154663044069923,8.66636666975474e-05,8.752944887038366e-05,9
17,0.7349858462689872,0.8384600177117707,0.7820795614788967,0.014854420631279995,0.00428677367868911,0.01344931387848847,10
18,0.6778765257575988,0.7896722067522297,0.7536724723225842,0.00017984931248736895,0.00025463825212104443,0.00014743536699597635,8
19,0.6409891238042217,0.7768703332717906,0.6744169825689178,0.005590441442863971,0.0018130163744927313,0.005159523475373032,19
20,0.6493784288210898,0.7787338973174415,0.6943171646617468,0.035722783325245935,0.009613925299108943,0.03088165258890183,15
21,0.5145116032681252,0.6123965690677917,0.7280153176348185,0.001109344470371827,0.00060311878771834,0.0007566082128478351,5
22,0.6820663666179252,0.7912321295904324,0.7535211983697975,0.00013757662949350397,4.030093122240793e-05,0.0001101111266961321,7
23,0.6544183257979226,0.7948523924454635,0.6865713921160085,0.029041699448356374,0.010367393567549921,0.026272093461694797,18
