correlation

-1
-0.134731311
-1
-1
-0.286945065
0.071073628
-1
-1
-1
-0.166146813
-0.26335511
-0.25417539
-1
0.231047742
-0.242017738
-1
-0.292134698


-1
-1
-0.231381851
-0.49661603
-0.313248516
-0.108886523
-1
-0.531971677
-0.52200805
-0.148119412
-0.359394227
0.517432624
-1
-1
-0.1859332
-0.560882104
-1
-0.515423291
-0.320934325
-1


-1
-1
-1
-1
1
-1
-1
-0.210035752
-0.091892644
-0.18630527
-0.226051304
-0.00727715
-1


-1
0.011652549
-1
0.021706045
1


-1
-0.229828901
-0.053218255
0.08436325
-1
-0.340005677
-0.365940527
-0.222286281
-1
-1
-1
-1
-0.212869766
-0.133639901
-1
-0.121475946


-1
-0.085448399
-1
-0.133772728
-1
-0.184180381
1
-0.109776523
-1
-1
-0.184427935
-1


-1
-1
-1
-1
-1
-1
-0.101408991
-1
-0.169555058
-0.17248134
-1
-1
-0.136703215
0.084766117
-0.234952415
-0.030655578
-0.101305851
-1


0.075865062
-0.962953374
1


-1
-1
-0.245555262
-0.154297601
-0.05562093
-0.219805861
-1
-0.095835702
-0.326342196
-0.184057886
-1
-1
-0.23393172
-1
-1
-1
-0.017660711
-0.287944165
-0.19104092
-0.116059513


-1
-1
-1
-0.270247362
-1
-0.23329537
-0.214425244
-0.256889068
-1
-1
-0.254383878
-0.270949049
-0.259266579
-1
-1
-0.124815608
-0.228085596
-0.111472108
-1
0.115065731
-1


-1
-0.236390007
-0.192949072
-0.218824283
-0.146489112
-0.288195654
-0.243202257
-1
-1
-1
-0.241252243
-0.236816337
-1
-0.277172962
-0.193630167
-0.275379676
-0.220126467
0.15445058
-1
-0.204105212
0.060171913


-1
-1
-0.173578769
0.014812015
-1
-0.109964902
-1
-0.300555003
-1
-1
-1
-1
-0.127103808
-1
-1
-1
-0.022631736
-0.013863679
-0.268090837
-0.249179752
-1


-1
-1
0.378852646
-1
-0.371934841
0.221158728
0.026782854
-1
-0.262337863
-0.341463877
-1


-0.980811767
0.164173267
0.946679922
-0.157424557


-1
-1
-1
0.013745151
-0.293738405
-0.116274994
-0.085441318
-0.190107902
-0.249883875
-1


-0.794808711
-0.990504813
-0.765394229
-0.951313216
0.252449466
0.697130345
-0.996117497
-0.063650364
-0.999514646


-0.045083194
-0.139241343
-1
-0.048909821
-1
-0.08545844
0.046237198
-1
-0.140428741
-0.210038047


-1
0.004780441
-1
-1
-1
1
-0.05049652
-1


-1
-1
-0.004607045
-1
-0.38767968
-1
-1
-1
-1
-1
-1
-1
0.101982242
-1
-0.304146475
-0.196752901
-1
-0.248419681
0.024220793


-1
-1
0.044920708
-1
-1
-1
-0.150304465
-0.107028077
-1
-1
-1
-0.188965391
-0.110187255
-0.065716668
-0.068979659


-0.78377352
-0.104342077
0.551150496
-0.079383421
-0.033478165


-1
-1
0.244264226
1
-1
-0.135153165
-1


-1
-0.228395763
-1
-0.217300153
-0.315399674
-1
-1
-1
-0.292620235
-1
-0.273108694
-1
-0.047164512
-0.053125402
-0.017495922
-0.215978104
-0.082150142
-0.226982837


-1
-1
-1
1
-1
0.106858482
0.030926028


-1
-0.239620508
-1
-0.231489598
-1
-0.124659628
-1
-1
-0.066522779
-0.076742865
0.116279699
-1
-1
-1


-1
-1
-0.083554937
-1
-0.100118678
-0.115270602
-1
-1
-1
0.022033486
-0.110990585
-0.23489174
-1
-1
-1


0.964483603
-0.110696672
-0.173811122
0.055996159


-1
1
-1
-1
0.189161684
-0.00387698
